Virtual address: 63485; Value: 0
Virtual address: 38697; Value: 0
Virtual address: 59188; Value: 0
Virtual address: 24593; Value: 0
Virtual address: 57641; Value: 0
Virtual address: 36524; Value: 0
Virtual address: 56980; Value: 0
Virtual address: 36810; Value: 35
Virtual address: 6096; Value: 0
Virtual address: 11070; Value: 10
Virtual address: 60124; Value: 0
Virtual address: 37576; Value: 0
Virtual address: 15096; Value: 0
Virtual address: 45247; Value: 47
Virtual address: 32783; Value: 3
Virtual address: 58390; Value: 57
Virtual address: 60873; Value: 0
Virtual address: 23719; Value: 41
Virtual address: 24385; Value: 0
Virtual address: 22307; Value: 200
Virtual address: 17375; Value: 247
Virtual address: 15990; Value: 15
Virtual address: 20526; Value: 20
Virtual address: 25904; Value: 0
Virtual address: 42224; Value: 0
Virtual address: 9311; Value: 23
Virtual address: 7862; Value: 7
Virtual address: 3835; Value: 190
Virtual address: 30535; Value: 209
Virtual address: 65179; Value: 166
Virtual address: 57387; Value: 10
Virtual address: 63579; Value: 22
Virtual address: 4946; Value: 4
Virtual address: 9037; Value: 0
Virtual address: 61033; Value: 0
Virtual address: 55543; Value: 61
Virtual address: 50361; Value: 0
Virtual address: 6480; Value: 0
Virtual address: 14042; Value: 13
Virtual address: 21531; Value: 6
Virtual address: 39195; Value: 70
Virtual address: 37511; Value: 161
Virtual address: 23696; Value: 0
Virtual address: 27440; Value: 0
Virtual address: 28201; Value: 0
Virtual address: 23072; Value: 0
Virtual address: 7814; Value: 7
Virtual address: 6552; Value: 0
Virtual address: 43637; Value: 0
Virtual address: 35113; Value: 0
Virtual address: 34890; Value: 34
Virtual address: 61297; Value: 0
Virtual address: 45633; Value: 0
Virtual address: 61431; Value: 253
Virtual address: 46032; Value: 0
Virtual address: 18774; Value: 18
Virtual address: 62991; Value: 131
Virtual address: 28059; Value: 102
Virtual address: 35229; Value: 0
Virtual address: 51230; Value: 50
Virtual address: 14405; Value: 0
Virtual address: 52242; Value: 51
Virtual address: 43153; Value: 0
Virtual address: 2709; Value: 0
Virtual address: 47963; Value: 214
Virtual address: 36943; Value: 19
Virtual address: 54066; Value: 52
Virtual address: 10054; Value: 9
Virtual address: 43051; Value: 10
Virtual address: 11525; Value: 0
Virtual address: 17684; Value: 0
Virtual address: 41681; Value: 0
Virtual address: 27883; Value: 58
Virtual address: 56909; Value: 0
Virtual address: 45772; Value: 0
Virtual address: 27496; Value: 0
Virtual address: 46842; Value: 45
Virtual address: 38734; Value: 37
Virtual address: 28972; Value: 0
Virtual address: 59684; Value: 0
Virtual address: 11384; Value: 0
Virtual address: 21018; Value: 20
Virtual address: 2192; Value: 0
Virtual address: 18384; Value: 0
Virtual address: 13464; Value: 0
Virtual address: 31018; Value: 30
Virtual address: 62958; Value: 61
Virtual address: 30611; Value: 228
Virtual address: 1913; Value: 0
Virtual address: 18904; Value: 0
Virtual address: 26773; Value: 0
Virtual address: 55491; Value: 48
Virtual address: 21899; Value: 98
Virtual address: 64413; Value: 0
Virtual address: 47134; Value: 46
Virtual address: 23172; Value: 0
Virtual address: 7262; Value: 7
